Name,Ticker,Class,Shares,Change,Value,Change,% Port,% OS,Hist,Date
AMERIPRISE FINANCIAL INC,AMP,Common,0,-2351418,0,-116724000,0.00,0.00,Hist,03/31/2012
"Baidu, Inc.",BIDU,SPON ADR REP A,0,-2397810,0,-279273000,0.00,0.00,Hist,03/31/2012
"TWENTY-FIRST CENTURY FOX, INC.",NWS.A,CL A,0,-1907038,0,-34022000,0.00,0.00,Hist,03/31/2012
SPDR GOLD TRUST,GLD,GOLD SHS,3750348,3750348,570015000,570015000,4.09,,Hist,12/31/2011
FMC TECHNOLOGIES INC,FTI,Common,6238283,6238283,325826000,325826000,2.34,,Hist,12/31/2011
"Baidu, Inc.",BIDU,SPON ADR REP A,2397810,2397810,279273000,279273000,2.00,,Hist,12/31/2011
lululemon athletica inc.,LULU,Common,4539163,4539163,211797000,211797000,1.52,,Hist,12/31/2011
Starz Acquisition LLC,LCAPA,Common,2263262,2263262,176648000,176648000,1.27,,Hist,12/31/2011
EL PASO CORP/DE,EP,Common,6560799,6560799,174320000,174320000,1.25,,Hist,12/31/2011
V F CORP,VFC,Common,1360750,1360750,172802000,172802000,1.24,,Hist,12/31/2011
WILLIS TOWERS WATSON PLC,WSH,Common,3529442,3529442,136942000,136942000,0.98,,Hist,12/31/2011
"KEURIG GREEN MOUNTAIN, INC.",GMCR,Common,2784721,2784721,124895000,124895000,0.90,1.82,Hist,12/31/2011
Michael Kors Holdings Ltd,KORS,Common,3651155,3651155,99494000,99494000,0.71,,Hist,12/31/2011
W R GRACE & CO,GRA,Common,1984147,1984147,91112000,91112000,0.65,2.69,Hist,12/31/2011
EBAY INC,EBAY,Common,2517124,-5525525,76344000,-112900000,0.55,,Hist,12/31/2011
MEDCO HEALTH SOLUTIONS INC,MHS,Call,1100000,1100000,61490000,61490000,0.44,,Hist,12/31/2011
"KINDER MORGAN, INC.",KMI,COM,1846158,1846158,59391000,59391000,0.43,,Hist,12/31/2011
"Fossil Group, Inc.",FOSL,CALL,640000,640000,50790000,50790000,0.36,,Hist,12/31/2011
"KEURIG GREEN MOUNTAIN, INC.",GMCR,CALL,700000,700000,31395000,31395000,0.23,,Hist,12/31/2011
INTEL CORP,INTC,COM,945000,945000,22916000,22916000,0.16,,Hist,12/31/2011
TESLA MOTORS INC,TSLA,PUT,703000,703000,20078000,20078000,0.14,,Hist,12/31/2011
BED BATH & BEYOND INC,BBBY,Put,280000,280000,6544000,6544000,0.05,,Hist,12/31/2011
VISA INC.,V,CL A,0,-2272192,0,-194772000,0.00,0.00,Hist,12/31/2011
"NetApp, Inc.",NTAP,Common,0,-9519193,0,-322986000,0.00,0.00,Hist,12/31/2011
EXPRESS SCRIPTS INC,ESRX,Call,0,-994700,0,-36874000,0.00,0.00,Hist,12/31/2011
SPDR S&P 500 ETF TRUST,SPY,UNIT SER 1,0,-2630000,0,-297585000,0.00,0.00,Hist,12/31/2011
VanceInfo Technologies Inc.,VIT,ADR,0,-7862536,0,-52915000,0.00,0.00,Hist,12/31/2011
SEARS HOLDINGS CORP,SHLD,PUT,0,-2364200,0,-135989000,0.00,0.00,Hist,12/31/2011
CTRIP COM INTERNATIONAL LTD,CTRP,ADR,0,-8596005,0,-276405000,0.00,0.00,Hist,12/31/2011
TERADATA CORP /DE/,TDC,Common,0,-3507642,0,-187764000,0.00,0.00,Hist,12/31/2011
EQUINIX INC,EQIX,Common,0,-3142821,0,-279177000,0.00,0.00,Hist,12/31/2011
Homeinns Hotel Group,HMIN,SP ADR,0,-918939,0,-23681000,0.00,0.00,Hist,12/31/2011
