Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
ESI,200509,0,0,-1478900.0,-79003000.0,49.35,,50.84,-72983715.0
ESI,200709,0,0,-789685.0,-92693000.0,121.69,,109.8,-96096767.64999999
ESRX,200712,0,0,-3102214.0,-173166000.0,73.0,,67.75,-226461622.0
ESRX,201112,0,0,-13443610.0,-498355000.0,44.69,,45.65,-600794930.9
ESRX,201212,0,0,-4309072.0,-269877000.0,54.0,,53.85,-232689888.0
ESRX,201603,0,0,-3193180.0,-279116000.0,68.69,,70.38,-219339534.2
ETR,200809,0,0,-3518632.0,-423925000.0,89.01,,103.39,-313193434.32
EV,200503,0,0,-330600.0,-17241000.0,23.44,,26.96,-7749264.0
EXBD,200606,0,0,-393895.0,-39744000.0,100.2,,101.72,-39468279.0
EXP,200812,0,0,-2830727.0,-63323000.0,18.41,,21.0,-52113684.07
EXPE,201512,0,0,-1094269.0,-128774000.0,124.3,,123.11,-136017636.7
EXPE,201712,0,0,-4656018.0,-670187000.0,119.77,,122.5,-557651275.86
FAF,200712,0,0,-3472382.0,-127159000.0,34.12,,34.18,-118477673.83999999
FAST,200812,0,0,-4593772.0,-226886000.0,34.85,,38.51,-160092954.20000002
FB,201406,0,0,-2000000.0,-120480000.0,67.29,A,63.3,-134580000.0
FDC,200609,0,0,-2465900.0,-111064000.0,42.0,,42.97,-103567800.0
FDC,201812,0,0,-21911495.0,-536174000.0,16.91,A,19.08,-370523380.45
FDO,201109,0,0,-3293534.0,-173108000.0,50.86,,53.39,-167509139.24
FHN,200812,0,0,-216662.0,-2028000.0,10.57,,10.69,-2290117.34
FIS,200803,0,0,-3005849.0,-125013000.0,38.14,,41.49,-114643080.86
FITB,200909,0,0,-3652640.0,-25934000.0,10.13,,10.94,-37001243.2
FLT,201812,0,0,-504075.0,-114848000.0,185.72,,193.39999,-93616809.0
FNF,201512,0,0,-6512113.0,-230985000.0,34.67,,35.85,-225774957.71
FNF,201603,0,0,-1750000.0,-60673000.0,33.9,,32.98,-59325000.0
FOSL,201112,0,0,-1984441.0,-160859000.0,79.36,,89.59,-157485237.76
FOSL,201206,0,0,-1885095.0,-248795000.0,76.54,,73.16,-144285171.3
FOXA,201409,0,0,-16045522.0,-564000000.0,34.29,A,35.42,-550200949.38
FTI,201203,0,0,-6238283.0,-325826000.0,50.42,,50.43,-314534228.86
FWONK,201709,0,0,-2919817.0,-106924000.0,38.09,C,39.3,-111215829.53000002
GDW,200606,0,0,-3885336.0,-263814000.0,74.2,,73.1,-288291931.2
GE,200709,0,0,-1528601.0,-58515000.0,41.4,,38.87,-63284081.4
GILD,200512,0,0,-91476.0,-4460000.0,52.57,,50.69,-4808893.32
GLD,201103,0,0,-3233000.0,-448482000.0,139.86,,137.661,-452167380.00000006
GLD,201212,0,0,-2587216.0,-445053000.0,162.0204,,166.05,-419181771.2064
GLW,200703,0,0,-4097955.0,-76673000.0,22.74,,20.63,-93187496.69999999
GMCR,201012,0,0,-10455980.0,-326122000.0,32.86,,37.08,-343583502.8
GMCR,201206,0,0,-5986474.0,-280406000.0,21.78,,23.6,-130385403.72000001
GOOG,200809,0,0,-982732.0,-517330000.0,400.51999,A,463.29000999999994,-393603810.81268
GOOG,200909,0,0,-476284.0,-200797000.0,495.85000999999994,A,461.67001,-236165426.16283998
GOOG,201012,0,0,-299532.0,-157490000.0,593.96997,A,555.71002,-177913013.05403998
GOOG,201112,0,0,-938388.0,-483307000.0,645.90002,A,599.39001,-606104827.9677601
GOOG,201312,0,0,-407784.0,-357182000.0,1120.70996,A,1059.58997,-457007590.32864
GOOG,201703,0,0,-627903.0,-484628000.0,829.56,C,823.21002,-520883212.67999995
GOOG,201812,0,0,-891299.0,-1063739000.0,1035.60999,C,1094.43005,-923038148.4770099
GOOG,201906,0,0,-444419.0,-521441000.0,1080.91003,C,1103.63,-480376954.62257
GOOGL,201609,0,0,-165008.0,-116088000.0,804.06,A,789.84998,-132676332.47999999
GPS,201412,0,0,-21006465.0,-875760000.0,42.11,,39.6,-884582241.15
GR,201112,0,0,-2678332.0,-323221000.0,123.7,,122.01,-331309668.40000004
GRA,201209,0,0,-1802702.0,-90946000.0,59.08,,57.76,-106503634.16
GRA,201309,0,0,-2868750.0,-241090000.0,87.4,,80.35,-250728750.00000003
GRA,201512,0,0,-1351301.0,-125739000.0,99.59,,98.22,-134576066.59
GRFS,201112,0,0,-7067971.0,-45164000.0,5.53,,5.53,-39085879.63
GRFS,201312,0,0,-4453500.0,-134379000.0,36.12,,34.335,-160860420.0
GTRC,200509,0,0,-605361.0,-35335000.0,55.21,,57.4,-33421980.81
HANS,200812,0,0,-4304311.0,-130205000.0,33.53,,29.75,-144323547.83
HBI,201603,0,0,-9336411.0,-274771000.0,28.34,,28.49,-264593887.74
HCA,201209,0,0,-7366988.0,-224177000.0,33.25,,28.55,-244952351.0
HCA,201509,0,0,-5007242.0,-454257000.0,77.36,,86.62,-387360241.12
HCA,201612,0,0,-1669543.0,-126268000.0,74.02,,70.89,-123579572.86
HDB,201706,0,0,-1312249.0,-98707000.0,86.97,,87.8,-114126295.53
HLT,201612,0,0,-19597829.0,-449378000.0,27.2,,25.07,-533060948.8
HMIN,201112,0,0,-918939.0,-23681000.0,25.8,,31.06,-23708626.2
HRB,201312,0,0,-2303844.0,-61420000.0,29.04,,27.89,-66903629.76
HRH,200503,0,0,-1099100.0,-39831000.0,35.8,,34.31,-39347780.0
HTHT,201112,0,0,-1046851.0,-14331000.0,14.2,,14.13,-14865284.2
HTHT,201306,0,0,-1114743.0,-18349000.0,16.0,,15.965,-17835888.0
HTZ,201309,0,0,-17332422.0,-429844000.0,22.16,,24.03,-384086471.52
HUM,201503,0,0,-1911536.0,-274553916000.0,178.02,,164.38,-340291638.72
HUM,201706,0,0,-1184119.0,-244094000.0,240.62,,232.25999,-284922713.78000003
HZNP,201606,0,0,-13997232.0,-231934000.0,16.47,,17.23,-230534411.04
IBN,201409,0,0,-659729.0,-32920000.0,49.1,,53.5,-32392693.900000002
ICE,200803,0,0,-1353621.0,-260572000.0,130.5,,130.3,-176647540.5
ICE,201503,0,0,-1142789.0,-250602200000.0,233.27,,235.36,-266578390.03
ICE,201703,0,0,-4225637.0,-238410000.0,59.87,,57.13,-252988887.19
ICE,201712,0,0,-8749665.0,-601102000.0,70.56,,71.45,-617376362.4
IFF,201112,0,0,-2992507.0,-168239000.0,52.42,,54.26,-156867216.94
ILMN,200712,0,0,-1040074.0,-53959000.0,59.26,,57.79,-61634785.239999995
ILMN,200809,0,0,-2161843.0,-188318000.0,40.53,,86.13,-87619496.79
ILMN,201606,0,0,-1675158.0,-271560000.0,140.38,,144.83,-235158680.04
INFA,201106,0,0,-2510444.0,-131020000.0,58.43,,58.66,-146685242.92
INFA,201303,0,0,-1872449.0,-56773000.0,34.47,,35.01,-64543317.03
INTC,201212,0,0,-945000.0,-21409000.0,20.62,,19.565,-19485900.0
INTC,201503,0,0,-2320000.0,-84192800000.0,31.27,,33.25,-72546400.0
ISRG,201309,0,0,-1161068.0,-587654000.0,376.26999,,386.51999,-436875044.74932003
ISS,201112,0,0,-5053798.0,-32799000.0,8.75,,8.87,-44220732.5
ISS,201206,0,0,-5253739.0,-46391000.0,5.7,,6.12,-29946312.3
ISS,201303,0,0,-5253739.0,-22381000.0,4.89,,4.99,-25690783.709999997
IT,200712,0,0,-1924960.0,-47085000.0,17.56,,18.89,-33802297.599999994
ITC,200612,0,0,-467700.0,-14592000.0,39.9,,39.25,-18661230.0
IVZ,201012,0,0,-18991544.0,-403190000.0,24.06,,21.74,-456936548.64
JAZZ,201506,0,0,-260985.0,-45096000.0,176.07001,,179.35001,-45951631.55985
JBHT,201309,0,0,-2831614.0,-204556000.0,72.93,,72.0,-206509609.02
JD,201409,0,0,-8405200.0,-239632000.0,25.82,,31.92,-217022264.0
JD,201603,0,0,-26995511.0,-871010000.0,26.5,,25.71,-715381041.5
JPM,200512,0,0,-4302661.0,-145989000.0,39.69,,38.25,-170772615.09
JPM,201106,0,0,-7400879.0,-341181000.0,40.94,,43.24,-302991986.26
KERX,200509,0,0,-1105203.0,-14589000.0,15.76,,16.76,-17417999.28
KMI,201209,0,0,-54156255.0,-116978000.0,35.52,P,35.77,-1923630177.6000001
KMI,201312,0,0,-10913487.0,-388193000.0,36.0,P,35.54,-392885532.0
KMI,201403,0,0,-69913434.0,-283849000.0,32.49,P,31.85,-2271487470.6600003
KMI,201612,0,0,-12334772.0,-285303000.0,20.71,P,22.2,-255453128.12
KMX,200803,0,0,-5155456.0,-101820256.0,19.42,,18.36,-100118955.52000001
KO,201112,0,0,-2524200.0,-170535000.0,69.97,,67.23,-176618274.0
KORS,201506,0,0,-11225155.0,-738054000.0,42.09,,46.5,-472466773.95000005
KSS,201209,0,0,-4274293.0,-194438000.0,51.22,,52.2,-218929287.46
KSU,201512,0,0,-1398480.0,-127094000.0,74.67,,90.92,-104424501.60000001
LBTYA,201212,0,0,-4442580.0,-269887000.0,62.96,A,56.04,-279704836.8
LBTYA,201409,0,0,-6519720.0,-288302000.0,42.54,A,43.67,-277348888.8
LBTYK,201412,0,0,-4460630.0,-182953000.0,48.31,C,49.92,-215493035.3
LCC,200612,0,0,-1129356.0,-50064000.0,53.85,,56.76,-60815820.6
LEN,200606,0,0,-1138077.0,-68717000.0,44.37,A,47.91,-50496476.489999995
LFT,201103,0,0,-2104089.0,-76126000.0,31.42,,28.97,-66110476.38
