Ticker,Date,Shares,Value,Shares_Change,Value_Change,Price,Class,Last_Price,New_Value
MSFT,201710,11329847,843960000,0,0,83.18,,74.49,942416673.46
MSFT,201711,11329847,843960000,0,0,84.17,,83.18,953633221.99
MSFT,201801,9584771,819881000,0,0,95.01,,85.54,910649092.71
MSFT,201802,9584771,819881000,0,0,93.77,,95.01,898763976.67
MSFT,201804,12076471,1102220000,0,0,93.52,,91.27,1129391567.9199998
MSFT,201805,12076471,1102220000,0,0,98.84,,93.52,1193638393.64
MSFT,201807,12504471,1233066000,0,0,106.08,,98.61,1326474283.68
MSFT,201808,12504471,1233066000,0,0,112.33,,106.08,1404627227.43
MSFT,201810,13737471,1571155000,0,0,106.81,,114.37,1467299277.51
MSFT,201811,13737471,1571155000,0,0,110.89,,106.81,1523348159.19
MSFT,201901,10097064,1025559000,0,0,104.43,,101.57,1054436393.5200001
MSFT,201902,10097064,1025559000,0,0,112.03,,104.43,1131174079.92
MSFT,201904,9035031,1065592000,0,0,130.60001,,117.94,1179975138.95031
MSFT,201905,9035031,1065592000,0,0,123.68,,130.60001,1117452634.0800002
MSFT,201907,7384511,989229000,0,0,136.27,,133.96001,1006287313.97
MSFT,201908,7384511,989229000,0,0,137.86,,136.27,1018028686.4600002
MSFT,201910,6059549,842459000,0,0,143.37,,139.03,868757540.13
MSFT,201911,6059549,842459000,0,0,151.38,,143.37,917294527.62
MSM,200704,3188052,148818000,0,0,48.74,A,46.68,155385654.48000002
MSM,200705,3188052,148818000,0,0,53.56,A,48.74,170752065.12
MSM,200707,4288471,235866000,0,0,50.29,A,55.0,215667206.59
MSM,200708,4288471,235866000,0,0,51.8,A,50.29,222142797.79999998
MSM,200709,4288471,216954000,0.0,-18912000.0,50.59,A,51.8,216953747.89000002
MSM,200710,4288471,216954000,0,0,48.71,A,50.59,208891422.41
MSM,200711,4288471,216954000,0,0,43.22,A,48.71,185347716.62
MSM,200801,4717664,190924000,0,0,40.87,A,40.47,192810927.67999998
MSM,200802,4717664,190924000,0,0,40.58,A,40.87,191442805.12
MSM,200804,5173605,218585000,0,0,48.76,A,42.25,252264979.79999998
MSM,200805,5173605,218585000,0,0,54.5,A,48.76,281961472.5
MSM,200806,5173605,228208000,0.0,9623000.0,44.11,A,54.5,228207716.55
MSM,200807,5173605,228208000,0,0,47.7,A,44.11,246780958.5
MSM,200808,5173605,228208000,0,0,50.93,A,47.7,263491702.65
MSM,200810,4923117,226808000,0,0,35.86,A,46.07,176542975.62
MSM,200811,4923117,226808000,0,0,34.61,A,35.86,170389079.37
MSM,200901,3006797,110740334,0,0,34.26,A,36.83,103012865.22
MSM,200902,3006797,110740334,0,0,30.59,A,34.26,91977920.23
MSM,200903,3006797,93421000,0.0,-17319334.0,31.07,A,30.59,93421182.79
MSM,200904,3006797,93421000,0,0,40.85,A,31.07,122827657.45
MSM,200905,3006797,93421000,0,0,36.38,A,40.85,109387274.86000001
MSM,200907,1782137,63230000,0,0,39.24,A,35.48,69931055.88000001
MSM,200908,1782137,63230000,0,0,39.51,A,39.24,70412232.86999999
MTG,201504,12403003,119441000,0,0,10.42,,9.63,129239291.26
MTG,201505,12403003,119441000,0,0,10.85,,10.42,134572582.54999998
MTG,201506,12403003,141146000,0.0,21705000.0,11.38,,10.85,141146174.14000002
MTG,201507,12403003,141146000,0,0,11.07,,11.38,137301243.21
MTG,201508,12403003,141146000,0,0,10.56,,11.07,130975711.68
MVL,201001,350518,18956000,0.0,0.0,54.07996165674801,,,18956000.0
NCC,200810,9343557,16351000,0,0,2.7,,1.75,25227603.900000002
NCC,200811,9343557,16351000,0,0,2.01,,2.7,18780549.569999997
NFLX,201107,639421,167969000,0,0,265.98999,,262.69,170079585.39578998
NFLX,201108,639421,167969000,0,0,235.00999,,265.98999,150270322.81579
NFLX,201207,360988,24722000,0,0,56.85,,68.485,20522167.8
NFLX,201208,360988,24722000,0,0,59.72,,56.85,21558203.36
NFLX,201501,779647,266335212000,0,0,441.79999000000004,,341.60999,344448036.80353004
NFLX,201502,779647,266335212000,0,0,474.91,,441.79999000000004,370262156.77000004
NFLX,201910,2355038,630255000,0,0,287.41,,267.62,676861471.58
NFLX,201911,2355038,630255000,0,0,314.66,,287.41,741036257.08
NIHD,200501,3216939,152644000,0,0,53.8,,47.45,173071318.2
NIHD,200502,3216939,152644000,0,0,57.22,,53.8,184073249.57999998
NIHD,200504,3953157,227307000,0,0,50.07,,57.5,197934570.99
NIHD,200505,3953157,227307000,0,0,59.6,,50.07,235608157.20000002
NIHD,200507,3946421,252334000,0,0,74.44,,63.94,293771579.24
NIHD,200508,3946421,252334000,0,0,76.23,,74.44,300835672.83000004
NIHD,200510,2947483,248915000,0,0,82.92,,84.45,244405290.36
NIHD,200511,2947483,248915000,0,0,43.45,,82.92,128068136.35000001
NIHD,200601,4093482,178803000,0,0,49.4,,43.68,202218010.79999998
NIHD,200602,4093482,178803000,0,0,51.22,,49.4,209668148.04
NIHD,200604,2529282,149152000,0,0,59.9,,58.97,151503991.79999998
NIHD,200605,2529282,149152000,0,0,54.46,,59.9,137744697.72
NIHD,201110,7006471,188824000,0,0,23.53,,26.95,164862262.63
NIHD,201111,7006471,188824000,0,0,23.01,,23.53,161218897.71
NIO,201810,3736290,18073000,0,0,5.9,A,6.98,22044111.0
NIO,201811,3736290,18073000,0,0,7.71,A,5.9,28806795.9
NIO,201812,3736290,20444000,0.0,2371000.0,6.37,A,7.71,23800167.3
NIO,201901,3736290,20444000,0,0,7.88,A,6.37,29441965.2
NIO,201902,3736290,20444000,0,0,9.57,A,7.88,35756295.300000004
NKE,200907,4495652,232785000,0,0,56.64,B,51.78,254633729.28
NKE,200908,4495652,232785000,0,0,55.39,B,56.64,249014164.28
NKE,201504,5678660,569740000,0,0,98.84,B,100.33,561278754.4
NKE,201505,5678660,569740000,0,0,101.67,B,98.84,577349362.2
NKE,201507,7155860,772976000,0,0,115.22,B,108.02,824498189.2
NKE,201508,7155860,772976000,0,0,111.75,B,115.22,799667355.0
NKE,201510,5700855,701034000,0,0,131.03,B,122.97,746983030.65
NKE,201511,5700855,701034000,0,0,132.28,B,131.03,754109099.4
NKE,201601,11496188,718512000,0,0,62.01,B,62.5,712878617.88
NKE,201602,11496188,718512000,0,0,61.59,B,62.01,708050218.9200001
NKE,201604,11996379,737417000,0,0,58.94,B,61.47,707066578.26
NKE,201605,11996379,737417000,0,0,55.22,B,58.94,662440048.38
NKE,201607,18305703,1010475000,0,0,55.5,B,55.2,1015966516.5
NKE,201608,18305703,1010475000,0,0,57.64,B,55.5,1055140720.92
NKE,201610,17452774,918889000,0,0,50.18,B,52.65,875780199.32
NKE,201611,17452774,918889000,0,0,50.07,B,50.18,873860394.18
NKE,201701,14396950,731797000,0,0,52.9,B,50.83,761598655.0
NKE,201702,14396950,731797000,0,0,57.16,B,52.9,822929662.0
NKE,201704,19159688,1067769000,0,0,55.41,B,55.73,1061638312.0799999
NKE,201705,19159688,1067769000,0,0,52.99,B,55.41,1015271867.12
NLC,200710,4987103,147868000,0,0,24.86,,29.65,123979380.58
NLC,200711,4987103,147868000,0,0,23.96,,24.86,119490987.88000001
NLSN,201104,6398200,174735000,0,0,29.89,,27.31,191242198.0
NLSN,201105,6398200,174735000,0,0,31.49,,29.89,201479318.0
NLSN,201107,5963949,185837000,0,0,29.96,,31.16,178679912.04
NLSN,201108,5963949,185837000,0,0,29.66,,29.96,176890727.34
NMX,200701,2058788,255310000,0,0,128.83,,124.01,265233658.04000002
NMX,200702,2058788,255310000,0,0,128.2,,128.83,263936621.59999996
