gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gind,gsector,gsubind
60846,20001231,2000,INDL,C,D,STD,TXCCQ,USD,A,4530,453010,45,45301020
60847,20000731,2000,INDL,C,D,STD,WPEC.1,USD,I,2010,201070,20,20107010
60857,20001231,2000,INDL,C,D,STD,CRII,USD,I,3520,352030,35,35203010
60863,20000430,1999,INDL,C,D,STD,HSTRF.1,CAD,I,1510,151040,15,15104040
60868,20001231,2000,INDL,C,D,STD,3CLAC,USD,I,4510,451010,45,45101010
60875,20001231,2000,INDL,C,D,STD,SERO,USD,I,3520,352030,35,35203010
60881,20001231,2000,INDL,C,D,STD,3PSIXQ,USD,I,4510,451010,45,45101010
60882,20001231,2000,INDL,C,D,STD,SLIXQ,USD,I,2010,201040,20,20104010
60883,20000630,2000,INDL,C,D,STD,EGPT.1,USD,I,4510,451030,45,45103010
60887,20001231,2000,INDL,C,D,STD,MFW,USD,I,2020,202010,20,20201010
60888,20001231,2000,INDL,C,D,STD,GLOW.,USD,I,5010,501010,50,50101010
60892,20001231,2000,INDL,C,D,STD,EIX2,USD,A,5510,551050,55,55105010
60893,20001231,2000,INDL,C,D,STD,VLCY,USD,I,2540,254010,25,25401040
60894,20001231,2000,INDL,C,D,STD,CAM,USD,I,1010,101010,10,10101020
60897,20001031,2000,INDL,C,D,STD,DVNTF,CAD,I,3510,351030,35,35103010
60898,20000930,2000,INDL,C,D,STD,0043A,USD,I,1510,151030,15,15103010
60899,20000331,1999,INDL,C,D,STD,CPCL,USD,I,4520,452050,45,45205020
60900,20001231,2000,INDL,C,D,STD,DISH,USD,A,5020,502010,50,50201030
60901,20001231,2000,INDL,C,D,STD,HNCS,USD,I,4510,451030,45,45103010
60902,20001231,2000,INDL,C,D,STD,HA,USD,A,2030,203020,20,20302010
60906,20001231,2000,INDL,C,D,STD,VIDA.,USD,I,3510,351010,35,35101010
60911,20001231,2000,INDL,C,D,STD,NHTC,USD,A,3030,303020,30,30302010
60914,20001231,2000,INDL,C,D,STD,LSI,USD,A,6010,601010,60,60101080
60915,20140331,2013,INDL,C,D,STD,REMI,USD,A,3510,351010,35,35101010
60916,20001231,2000,INDL,C,D,STD,RMTD,USD,A,5010,501020,50,50102010
60920,20001231,2000,INDL,C,D,STD,3ECNG,USD,I,4510,451020,45,45102010
